,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
129,MI.4.5,Vectors lliures en el pla. Operacions geomètriques,Bloc 4. Geometria,Matemàtiques I,,
130,MI.4.6,Producte escalar. Mòdul d’un vector. Angle de dos vectors,Bloc 4. Geometria,Matemàtiques I,,
131,MI.4.7,Bases ortogonals i ortonormals,Bloc 4. Geometria,Matemàtiques I,,
132,MI.4.8,Geometria mètrica plana. Equacions de la recta. Posicions relatives de rectes,Bloc 4. Geometria,Matemàtiques I,,
133,MI.4.9,Distàncies i angles. Resolució de problemes,Bloc 4. Geometria,Matemàtiques I,,
134,MI.4.10,Llocs geomètrics en el pla,Bloc 4. Geometria,Matemàtiques I,,
135,MI.4.11,"Còniques. Circumferència, el·lipse, hipèrbola i paràbola. Equació i elements",Bloc 4. Geometria,Matemàtiques I,,
136,MI.5.1,Estadística descriptiva bidimensional,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
137,MI.5.2,Taules de contingència,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
138,MI.5.3,Distribució conjunta i distribucions marginals,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
139,MI.5.4,Mitjanes i desviacions típiques marginals,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
140,MI.5.5,Distribucions condicionades,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
141,MI.5.6,Independència de variables estadístiques,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
142,MI.5.7,Estudi de la dependència de dues variables estadístiques. Representació gràfica: Núvol de punts,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
143,MI.5.8,Dependència lineal de dues variables estadístiques. Covariància i correlació: Càlcul i interpretació del coeficient de correlació lineal,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
144,MI.5.9,Regressió lineal. Estimació. Prediccions estadístiques i fiabilitat de les mateixes,Bloc 5. Estadística i probabilitat,Matemàtiques I,,
145,MII.1.1,Planificació del procés de resolució de problemes,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
146,MII.1.2,"Estratègies i procediments posats en pràctica: relació amb altres problemes coneguts, modificació de variables, suposar el problema resolt","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
147,MII.1.3,"Solucions i/o resultats obtinguts: coherència de les solucions amb la situació, revisió sistemàtica del procés, altres formes de resolució, problemes semblants, generalitzacions i particularitzacions interessants","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
148,MII.1.4,"Iniciació a la demostració en matemàtiques: mètodes, raonaments, llenguatges","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
149,MII.1.5,"Mètodes de demostració: reducció a l’absurd, mètode d’inducció, contraexemples, raonaments encadenats","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
150,MII.1.6,Raonament deductiu i inductiu,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
151,MII.1.7,"Llenguatge gràfic, algebraic, altres formes de representació d’arguments","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
152,MII.1.8,Elaboració i presentació oral i/o escrita d’informes científics sobre el procés seguit en la resolució d’un problema o en la demostració d’un resultat matemàtic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
153,MII.1.9,Realització d’investigacions matemàtiques a partir de contextos de la realitat o contextos del món de les matemàtiques,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
154,MII.1.10,"Elaboració i presentació d’un informe científic sobre el procés, resultats i conclusions del procés d’investigació desenvolupat","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
155,MII.1.11,"Pràctica dels processos de matematització i modelització, en contextos de la realitat i en contextos matemàtics","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
